iter	Passed	Remaining
0	70	70860
1	147	73767
2	217	72333
3	294	73267
4	382	76046
5	479	79503
6	574	81461
7	663	82223
8	746	82181
9	823	81569
10	910	81833
11	991	81673
12	1076	81712
13	1187	83606
14	1288	84619
15	1407	86549
16	1503	86956
17	1589	86723
18	1666	86054
19	1744	85498
20	1836	85609
21	1919	85330
22	2005	85178
23	2084	84768
24	2172	84738
25	2255	84510
26	2321	83673
27	2406	83536
28	2499	83680
29	2579	83396
30	2679	83740
31	2760	83490
32	2858	83761
33	2931	83295
34	3023	83351
35	3122	83624
36	3216	83710
37	3308	83746
38	3396	83702
39	3480	83537
40	3571	83529
41	3653	83339
42	3725	82919
43	3821	83029
44	3898	82724
45	3985	82663
46	4067	82484
47	4163	82580
48	4252	82532
49	4337	82406
50	4424	82337
51	4508	82187
52	4606	82311
53	4683	82052
54	4760	81794
55	4841	81605
56	4924	81473
57	5027	81653
58	5121	81686
59	5196	81419
60	5282	81319
61	5375	81327
62	5471	81375
63	5561	81331
64	5649	81266
65	5735	81159
66	5756	80166
67	5847	80138
68	5950	80282
69	6060	80522
70	6164	80659
71	6271	80832
72	6360	80770
73	6443	80628
74	6529	80535
75	6610	80368
76	6700	80313
77	6828	80712
78	6930	80800
79	7025	80788
80	7129	80892
81	7231	80958
82	7323	80915
83	7416	80880
84	7536	81124
85	7629	81083
86	7720	81022
87	7813	80980
88	7897	80836
89	7978	80674
90	8064	80554
91	8162	80557
92	8244	80404
93	8329	80278
94	8409	80107
95	8488	79937
96	8560	79694
97	8640	79523
98	8712	79292
99	8801	79215
100	8895	79177
101	8980	79067
102	9073	79022
103	9158	78903
104	9251	78860
105	9352	78879
106	9453	78893
107	9557	78940
108	9638	78789
109	9724	78683
110	9823	78680
111	9921	78659
112	10013	78603
113	10109	78566
114	10202	78517
115	10293	78440
116	10372	78280
117	10461	78197
118	10550	78109
119	10633	77980
120	10733	77970
121	10828	77929
122	10930	77937
123	11014	77809
124	11106	77746
125	11200	77691
126	11286	77581
127	11362	77404
128	11460	77377
129	11548	77283
130	11640	77216
131	11725	77106
132	11800	76926
133	11889	76835
134	11986	76802
135	12071	76686
136	12160	76599
137	12243	76478
138	12335	76409
139	12414	76261
140	12500	76154
